%  ' depth(m)'	   'Vp'		'Vs'	   'rho'	'GR'	    'nphi' 
   2062.6304      2.5728      1.2370      2.3119     67.4435       .4136
   2062.7827      2.5896      1.2269      2.2968     68.6921       .4105
   2062.9353      2.6334      1.2274      2.3064     65.2075       .3965
   2063.0876      2.6204      1.2037      2.3245     66.1279       .3919
   2063.2400      2.6419      1.2223      2.3314     65.5584       .3937
   2063.3923      2.6116      1.2223      2.3141     68.0351       .3891
   2063.5449      2.6651      1.2469      2.2957     61.9191       .3966
   2063.6973      2.6600      1.2150      2.2892     58.7732       .3915
   2063.8496      2.5915      1.2401      2.2863     51.6192       .3903
   2064.0020      2.6354      1.2349      2.2979     53.1531       .3682
   2064.1543      2.6242      1.2349      2.2965     53.3943       .3876
   2064.3069      2.5853      1.2384      2.2964     56.7198       .3982
   2064.4592      2.5858      1.1939      2.2905     56.6817       .4231
   2064.6116      2.5297      1.1457      2.2877     54.4320       .4187
   2064.7639      2.5400      1.1474      2.2736     53.0296       .4038
   2064.9165      2.4610      1.1469      2.2651     54.3476       .4043
   2065.0688      2.4945      1.1469      2.2460     57.9236       .3987
   2065.2212      2.4597      1.1470      2.2321     61.4415       .4218
   2065.3735      2.4689      1.1710      2.2187     62.6541       .3935
   2065.5259      2.5734      1.1828      2.2208     58.4147       .4068
   2065.6785      2.5876      1.1691      2.2361     56.7632       .4024
   2065.8308      2.5958      1.1691      2.2592     56.5339       .4341
   2065.9832      2.6045      1.1803      2.2722     59.8484       .4314
   2066.1355      2.6077      1.1906      2.2691     59.4020       .4556
   2066.2881      2.6280      1.1700      2.2728     58.8348       .4360
   2066.4404      2.6156      1.1917      2.2979     60.0103       .4179
   2066.5928      2.5542      1.1917      2.3115     60.5051       .3874
   2066.7451      2.5334      1.1831      2.2945     62.8526       .4049
   2066.8977      2.5238      1.1572      2.2762     64.1169       .4003
   2067.0500      2.5248      1.2152      2.2601     68.4306       .3960
   2067.2024      2.5409      1.2116      2.2693     68.0845       .3833
   2067.3547      2.5358      1.2054      2.2865     67.4704       .3920
   2067.5071      2.5387      1.2054      2.2939     64.4698       .4142
   2067.6597      2.5622      1.2150      2.2743     63.2775       .4184
   2067.8120      2.5664      1.2238      2.2582     60.1918       .4006
   2067.9644      2.5706      1.2131      2.2593     62.1238       .3820
   2068.1167      2.5420      1.1950      2.2852     59.1814       .3841
   2068.2693      2.5375      1.1950      2.2899     58.7595       .4073
   2068.4216      2.5259      1.1804      2.2693     56.3184       .4095
   2068.5740      2.5373      1.1726      2.2504     59.7548       .4221
   2068.7263      2.5378      1.1750      2.2437     64.1718       .4280
   2068.8789      2.5617      1.1772      2.2397     69.1460       .4534
   2069.0312      2.5937      1.1544      2.2277     68.4696       .4341
   2069.1836      2.5947      1.1544      2.2284     72.0258       .4092
   2069.3359      2.5967      1.1371      2.2394     71.1425       .3933
   2069.4883      2.5849      1.1755      2.2523     73.6892       .4089
   2069.6409      2.5777      1.1805      2.2663     69.2731       .4227
   2069.7932      2.6006      1.1463      2.2775     71.8659       .4257
   2069.9456      2.5498      1.1463      2.2776     75.8922       .4326
   2070.0979      2.5451      1.2317      2.2665     83.3517       .4409
   2070.2505      2.5803      1.2509      2.2570     82.6548       .4383
   2070.4028      2.6702      1.2750      2.2595     81.7953       .4239
   2070.5552      2.6865      1.2861      2.2641     77.6954       .4240
   2070.7075      2.9524      1.3198      2.2657     75.2348       .4266
   2070.8601      3.0128      1.3198      2.2679     71.8456       .4604
   2071.0125      3.0692      1.2182      2.2983     65.7304       .4689
   2071.1648      2.7386      1.2205      2.3761     56.9927       .3882
   2071.3171      2.6403      1.1480      2.4412     49.8980       .3120
   2071.4695      2.5618      1.1619      2.3889     54.0507       .2852
   2071.6221      2.5730      1.1619      2.2763     67.2066       .3641
   2071.7744      2.5712      1.1541      2.2236     76.6914       .4272
   2071.9268      2.5723      1.1872      2.2529     79.3644       .4548
   2072.0791      2.5767      1.1904      2.2812     80.5298       .4533
   2072.2317      2.5443      1.1945      2.2783     81.1474       .4448
   2072.3840      2.5153      1.1945      2.2661     80.9565       .4257
   2072.5364      2.4907      1.1862      2.2593     76.9932       .4087
   2072.6887      2.4835      1.1908      2.2571     70.0863       .3888
   2072.8413      2.4797      1.1657      2.2484     66.9474       .3918
   2072.9937      2.4678      1.1639      2.2250     64.0157       .4293
   2073.1460      2.4911      1.1639      2.2160     66.9600       .4284
   2073.2983      2.4966      1.1976      2.2172     65.9932       .4207
   2073.4507      2.5172      1.1898      2.2326     65.6178       .4022
   2073.6033      2.5350      1.1895      2.2465     65.0020       .3994
   2073.7556      2.5212      1.1879      2.2477     65.9142       .4144
   2073.9080      2.5631      1.1879      2.2658     65.0111       .3972
   2074.0603      2.5317      1.1936      2.2778     64.5113       .4155
   2074.2129      2.5432      1.1804      2.2907     63.6245       .3842
   2074.3652      2.6172      1.2127      2.2901     65.9273       .3930
   2074.5176      2.5875      1.1889      2.2850     68.6407       .3973
   2074.6699      2.5876      1.1889      2.2890     70.2200       .4323
   2074.8225      2.5667      1.2328      2.2909     68.3859       .4213
