LFC,IP,VPVS
4.0,4936.793184000005,2.8529449505966897
4.0,5034.625726399996,2.824834808627353
4.0,5114.740474800031,2.802684563758389
4.0,5064.987446400053,2.7648566198901765
4.0,5087.267116800011,2.7728382999511485
4.0,5082.170380000006,2.6672140762463346
4.0,5137.9268200000015,2.6880776880776884
4.0,5198.376097799963,2.722254775577172
4.0,5148.502072699984,2.7149283769385577
4.0,5020.301900799985,2.6336516920174518
4.0,4847.383179999997,2.616248189280541
4.0,5018.349054399976,2.6503874148861235
4.0,5022.796030950024,2.6612979073595104
4.0,5137.688246000007,2.6687935034802783
4.0,5379.449088000007,2.8013986013986014
4.0,5316.392241599962,2.8589075935569817
4.0,5376.478243500023,2.72968624296058
4.0,5299.553948600004,2.6336589199506006
4.0,5251.435627200005,2.7725593038502803
4.0,5157.635304800005,2.731296981267152
4.0,5189.589124800005,2.748004289288693
4.0,5245.9856029999955,2.8438259601361207
4.0,5233.019677600048,2.7781883194278905
4.0,5214.4634199999955,2.692173508547506
4.0,5250.169428000022,2.6780711825487944
4.0,5251.031983400011,2.6816303099885195
4.0,5259.029164800001,2.6822043628013774
4.0,5083.2144,2.591801584567689
4.0,5134.9909860999605,2.7365456070957688
4.0,5111.278672500001,2.616889804325438
4.0,5155.7603024999935,2.681378828461628
4.0,5194.107450400004,2.698614184231978
4.0,5189.748006400017,2.6251419486713607
4.0,5200.762074700002,2.7201457451810054
4.0,5223.7636735000015,2.6834756519732292
4.0,5250.965987999997,2.5052021881368653
4.0,5194.362835199995,2.4754907218706426
4.0,5209.053891100006,2.6183585801492195
4.0,5132.294745799997,2.609683681626127
4.0,5194.375007500015,2.6924866247964645
4.0,5118.259943999986,2.6486360998258847
4.0,5081.851794000017,2.6534317170297497
4.0,5088.622184399971,2.6642070742562667
4.0,5118.010155700002,2.7774541924523724
4.0,5142.86564879999,2.7139482697531587
4.0,5172.729072000016,2.7141345249294444
4.0,5237.420155200001,2.662408759124088
4.0,5260.250674899962,2.6714187956204376
4.0,5337.611524000003,2.6534154535274355
4.0,5397.865796800018,2.6488879052783005
4.0,5421.4240779000065,2.4589104339796863
4.0,5424.841529000003,2.484483653347172
4.0,5381.6038892000015,2.480234260614934
4.0,5415.080871199989,2.493411420204977
4.0,5381.041987500002,2.5071240105540897
4.0,5370.917228,2.5966064586754243
4.0,5397.863415000006,2.618179822153913
4.0,5400.856254399995,2.5991726540387545
4.0,5388.772799999999,2.5911169170476813
4.0,5317.434505499996,2.411064353895104
4.0,5417.613836400007,2.5353140198773527
4.0,5469.541694400075,2.45714865962632
4.0,5550.0935520000085,2.4249876053544868
4.0,5579.7600541999645,2.3658724799845667
4.0,5578.122009199995,2.35708782742681
4.0,5597.419841349996,2.4959845481345937
4.0,5614.018351199994,2.565135895032802
4.0,5567.825101800003,2.6427798224723964
4.0,5574.9390019999755,2.6053950314532472
4.0,5563.9445592,2.6049685467533847
4.0,5427.790599999998,2.67478670857656
4.0,5343.517369999969,2.629459791969578
4.0,5253.582973000007,2.610699033490672
4.0,5195.518583199993,2.8286099865047234
4.0,5132.578803200005,2.4209521789842015
4.0,5156.9966700000095,2.4382356059802777
4.0,5292.724871199994,2.5022241050624867
4.0,5336.127103999992,2.324350808427241
4.0,5333.584071800003,2.528983177970642
4.0,5381.894146199994,2.438018220902856
4.0,5387.376080999975,2.4401678779813696
4.0,5406.051446599997,2.4938916153283905
4.0,5417.383538700002,2.525971283783784
4.0,5433.701413999997,2.503652682112294
4.0,5360.4896895999955,2.484348739495798
4.0,5289.132265200002,2.4814736171568104
4.0,5229.909031750017,2.4563765504081414
4.0,5204.193753599988,2.4072492448703264
4.0,5230.842119999998,2.531542310202306
4.0,5230.657463999964,2.533072236727589
4.0,5270.174999999998,2.7141367323290844
4.0,5280.498492000019,2.714566701376837
4.0,5419.668410399999,2.500624089868941
4.0,5351.302458599986,2.583887495911916
4.0,5466.9488159999955,2.32143887659902
4.0,5745.203181899987,2.48667972575906
4.0,5833.960844799979,2.4976548759038497
4.0,5500.358822000003,2.3358413132694937
4.0,5577.135302399921,2.285285848172446
4.0,5478.0973487999845,2.5022282101772206
4.0,5298.18138000001,2.479621155687985
4.0,5268.304051999834,2.42258064516129
4.0,5302.714101299999,2.448
4.0,5412.586383449984,2.54812380750477
4.0,5575.719624749991,2.3894960827933067
4.0,5714.080000000022,2.4311261478975354
4.0,5683.1642400000255,2.489244622311156
4.0,5811.359300899987,2.5527137247004332
