DEPTH,VP,RHO,GR,VSH,RHOm,RHOf,PHIE,IP
1370.125,3217.63,2.2217,22.9445,0.147872673435,2.67365962775,1.09,0.28538937271,7148.608571
1370.25,2719.5,2.2025,22.4913,0.141084878885,2.67257358062,1.09,0.297031105775,5989.69875
1370.375,2699.74,2.1806,22.2606,0.137629573936,2.67202073183,1.09,0.310628503118,5887.053044
1370.5,2689.52,2.1543,22.0177,0.133991543714,2.67143864699,1.09,0.327005191113,5794.032936
1370.625,2856.73,2.1323,22.6311,0.143178730778,2.67290859692,1.09,0.3415286252,6091.405379
1370.75,2871.82,2.1219,23.1904,0.151555636101,2.67424890178,1.09,0.348650329602,6093.714858
1370.875,2769.14,2.1155,23.5526,0.156980479849,2.67511687678,1.09,0.353044551462,5858.11567
1371.0,2895.06,2.1366,24.3346,0.16869287027,2.67699085924,1.09,0.340512899678,6185.585196
1371.125,3097.14,2.1555,26.0391,0.194221987242,2.68107551796,1.09,0.330327198192,6675.88527
1371.25,2952.26,2.1632,25.4676,0.185662356647,2.67970597706,1.09,0.324906608213,6386.328832
1371.375,2870.64,2.1597,25.1086,0.18028544084,2.67884567053,1.09,0.326743924953,6199.721208
1371.5,2855.74,2.1509,24.0991,0.16516567341,2.67642650775,1.09,0.331264325942,6142.411166
1371.625,2855.2,2.1316,22.4034,0.139768358273,2.67236293732,1.09,0.341743935332,6086.14432
1371.75,2880.09,2.1248,23.403,0.154739848638,2.67475837578,1.09,0.347029795953,6119.615232
1371.875,2862.88,2.1363,24.1009,0.165192632876,2.67643082126,1.09,0.340469192871,6115.970544
1372.0,3093.17,2.1713,26.4236,0.199980828824,2.68199693261,1.09,0.320790148618,6716.200021
1372.125,3122.62,2.2238,26.3207,0.198439645992,2.68175034336,1.09,0.287702368195,6944.082356
1372.25,3109.51,2.2687,25.055,0.179482647839,2.67871722365,1.09,0.258080681414,7054.545337
1372.375,3553.93,2.2868,26.0594,0.194526030114,2.68112416482,1.09,0.247827399984,8127.127124
1372.5,3499.55,2.2825,23.0349,0.14922663775,2.67387626204,1.09,0.247100276341,7987.722875
1372.625,3464.58,2.2756,25.2285,0.182081240854,2.67913299854,1.09,0.253932804182,7883.998248
1372.75,3436.54,2.2714,23.4052,0.154772799097,2.67476364786,1.09,0.254526060338,7805.756956
1372.875,3899.62,2.266,21.7407,0.129842781378,2.67077484502,1.09,0.25606103633,8836.53892
1373.0,5056.35,2.2692,22.6932,0.144108832371,2.67305741318,1.09,0.255112297139,11473.86942
1373.125,4729.03,2.2469,21.9721,0.133308570564,2.67132937129,1.09,0.268400359214,10625.657507
1373.25,5182.44,2.2063,22.3694,0.139259123907,2.67228145983,1.09,0.294499728182,11434.017372
1373.375,4737.31,2.1668,22.534,0.141724417339,2.67267590677,1.09,0.319633289803,10264.803308
1373.5,4826.6,2.1431,23.1917,0.151575106827,2.67425201709,1.09,0.335269901103,10343.88646
1373.625,5055.9,2.137,24.7941,0.175575022953,2.67809200367,1.09,0.340718297442,10804.4583
1373.75,4226.24,2.1739,26.7599,0.205017755804,2.68280284093,1.09,0.319501464872,9187.423136
1373.875,2721.34,2.1955,24.6965,0.174113220773,2.67785811532,1.09,0.303779103856,5974.70197
1374.0,2206.51,2.2022,22.6215,0.143034946957,2.67288559151,1.09,0.297359198945,4859.176322
1374.125,2158.61,2.1916,20.5276,0.111673598744,2.6678677758,1.09,0.301842640495,4730.809676
1374.25,2142.42,2.1732,18.9724,0.0883806197382,2.66414089916,1.09,0.311878624982,4655.907144
1374.375,2009.58,2.2133,18.6737,0.083906846057,2.66342509537,1.09,0.286079773797,4447.803414
1374.5,1897.74,2.265,20.2766,0.107914250924,2.66726628015,1.09,0.255040182632,4298.3811
1374.625,1822.14,2.3889,21.9042,0.13229159958,2.67116665593,1.09,0.178517966385,4352.910246
1374.75,1740.6,2.4047,26.9947,0.208534468427,2.68336551495,1.09,0.174891142261,4185.62082
1374.875,1820.61,2.3065,31.4639,0.275471828106,2.6940754925,1.09,0.24161923445,4199.236965
1375.0,1973.95,2.3223,34.2762,0.317592998926,2.70081487983,1.09,0.234983476108,4584.104085
1375.125,2036.91,2.1573,35.583,0.337165571563,2.70394649145,1.09,0.338701744045,4394.225943
1375.25,2148.81,2.0681,35.1216,0.330254961665,2.70284079387,1.09,0.393554525828,4443.953961
1375.375,2132.72,1.9946,37.0925,0.359774079671,2.70756385275,1.09,0.440763962138,4253.923312
1375.5,1814.63,1.9461,37.3921,0.364261333086,2.70828181329,1.09,0.47098212872,3531.451443
1375.625,1911.39,1.9463,37.7784,0.370047134134,2.70920754146,1.09,0.471161059918,3720.138357
1375.75,2596.31,1.9776,37.1869,0.361187953911,2.70779007263,1.09,0.451350323494,5134.462656
1375.875,3080.76,2.0073,32.4963,0.290934579859,2.69654953278,1.09,0.429024763143,6184.009548
1376.0,3210.51,2.0306,33.9317,0.312433256599,2.69998932106,1.09,0.415772522402,6519.261606
1376.125,3153.73,2.0466,33.6373,0.308023886087,2.69928382177,1.09,0.405574090128,6454.423818
1376.25,2980.52,2.0538,33.9023,0.311992918647,2.69991886698,1.09,0.401336291061,6121.391976
