%' Depth (m) '	      ' Vp'	    'Density'	'Gamma Ray'    
    2185.92212        2.61578        2.18880       67.85440
    2186.07446        2.59352        2.22070       71.49610
    2186.22681        2.58253        2.21820       69.93060
    2186.37915        2.56947        2.18850       66.63320
    2186.53149        2.57816        2.17680       74.32360
    2186.68408        2.56731        2.18560       77.20690
    2186.83643        2.56083        2.19710       61.94580
    2186.98877        2.55654        2.18230       75.14410
    2187.14111        2.55654        2.15650       71.37230
    2187.29370        2.55868        2.14270       69.18900
    2187.44604        2.56299        2.14990       69.10140
    2187.59839        2.56947        2.14960       68.38520
    2187.75073        2.57816        2.12750       68.17390
    2187.90332        2.59131        2.11380       68.72490
    2188.05566        2.60016        2.12020       68.58650
    2188.20801        2.60460        2.13750       73.34940
    2188.36035        2.62253        2.16020       74.20080
    2188.51270        2.62027        2.18590       72.15590
    2188.66528        2.60906        2.24110       71.67410
    2188.81763        2.60016        2.28550       71.35500
    2188.96997        2.59794        2.34530       71.70810
    2189.12231        2.53738        2.36580       69.75210
    2189.27490        2.55868        2.31250       70.12010
    2189.42725        2.58911        2.24630       69.11520
    2189.57959        2.59794        2.20160       74.54330
    2189.73193        2.64071        2.18380       76.02470
    2189.88452        2.66611        2.19150       76.58620
    2190.03687        2.64759        2.20920       73.79340
    2190.18921        2.66378        2.22270       72.01490
    2190.34155        2.63614        2.22440       74.95130
    2190.49390        2.64989        2.21490       76.97940
    2190.64648        2.68727        2.21190       79.83010
    2190.79883        2.75280        2.21050       79.45520
    2190.95117        2.73550        2.19970       85.75610
