%' Depth (m) '	      ' Vp'	    'Density'	'Gamma Ray'    
    2066.44043        2.52109        2.36390       89.88120
    2066.59277        2.53156        2.34510       99.76600
    2066.74512        2.48411        2.33650       93.86950
    2066.89771        2.45213        2.34610       89.80490
    2067.05005        2.49427        2.34390       92.63280
    2067.20239        2.53577        2.32430       86.58850
    2067.35474        2.55705        2.32160       84.15990
    2067.50708        2.54849        2.32760       89.94470
    2067.65967        2.62306        2.33580       81.90110
    2067.81201        2.71416        2.33200       83.54620
    2067.96436        2.69020        2.32570       91.73590
    2068.11670        2.67838        2.32840       92.26170
    2068.26929        2.59625        2.34970       90.82620
    2068.42163        2.51071        2.36870       90.66130
    2068.57397        2.50452        2.38160       92.36210
    2068.72632        2.52109        2.37720       85.41460
    2068.87891        2.52527        2.36520       93.52900
    2069.03125        2.53156        2.35900       87.76880
    2069.18359        2.52946        2.35170       90.38240
    2069.33594        2.51901        2.35680       87.68130
    2069.48828        2.53577        2.36250       85.22560
    2069.64087        2.55705        2.35950       81.89430
    2069.79321        2.59847        2.35490       78.27350
    2069.94556        2.62985        2.34940       76.57900
    2070.09790        2.66201        2.33880       85.88620
    2070.25049        2.66201        2.33260       86.91880
    2070.40283        2.61631        2.34570       85.95180
    2070.55518        2.60068        2.36470       84.81200
    2070.70752        2.56566        2.38120       85.14450
    2070.86011        2.53577        2.36950       84.00830
    2071.01245        2.54000        2.35620       81.38150
    2071.16479        2.56782        2.27770       82.25400
    2071.31714        2.60513        2.23280       79.21280
    2071.46948        2.67838        2.20160       73.42730
    2071.62207        2.63668        2.26370       77.27690
    2071.77441        2.65043        2.31540       76.34500
    2071.92676        2.69020        2.35300       81.17430
    2072.07910        2.69258        2.36470       83.54080
    2072.23169        2.79121        2.36690       83.68900
    2072.38403        2.80663        2.34780       83.04800
    2072.53638        2.80147        2.33340       89.16470
    2072.68872        2.82222        2.36750       86.58310
    2072.84131        2.80922        2.42870       86.86870
    2072.99365        2.72630        2.48230       93.99610
    2073.14600        2.66201        2.45660      100.75140
    2073.29834        2.60513        2.40850       99.07270
    2073.45068        2.57868        2.38000       93.26180
    2073.60327        2.58086        2.37690       95.24370
    2073.75562        2.56566        2.36660       90.74230
    2073.90796        2.60513        2.35010       82.62500
    2074.06030        2.56566        2.29190       88.23240
    2074.21289        2.59625        2.24920       87.63440
    2074.36523        2.73118        2.26020       89.68240
    2074.51758        2.72874        2.32570       93.18150
    2074.66992        2.70453        2.37410       96.91150
    2074.82251        2.61856        2.37620       95.68750
    2074.97485        2.53156        2.37460       86.14350
    2075.12720        2.51071        2.37880       84.28780
    2075.27954        2.52109        2.37110       87.41990
    2075.43188        2.49020        2.36240       86.31020
    2075.58447        2.50246        2.35230       87.46410
    2075.73682        2.53367        2.34830       87.61690
    2075.88916        2.58963        2.35180       84.36510
    2076.04150        2.61856        2.35870       81.12500
    2076.19409        2.62759        2.35810       74.69570
    2076.34644        2.67838        2.34990       84.47320
    2076.49878        2.72386        2.35320       81.13490
