%  'Depth (m)'	   ' t_p'  		' t_s'		'GR'		'rho' 
   2.1197317e+03   1.2892800e+02   3.5690300e+02   9.3521000e+01   2.2740000e+00
   2.1198840e+03   1.2888500e+02   3.6219300e+02   9.0165000e+01   2.2890000e+00
   2.1200364e+03   1.2914600e+02   3.6257800e+02   8.8660000e+01   2.2920000e+00
   2.1201887e+03   1.2966000e+02   3.5810300e+02   8.6626000e+01   2.2820000e+00
   2.1203413e+03   1.3037400e+02   3.5211000e+02   8.5750000e+01   2.2680000e+00
   2.1204937e+03   1.3052700e+02   3.4610200e+02   8.7182000e+01   2.2630000e+00
   2.1206460e+03   1.2976400e+02   3.4274100e+02   8.9086000e+01   2.2670000e+00
   2.1207983e+03   1.2876000e+02   3.4080700e+02   8.8057000e+01   2.2650000e+00
   2.1209509e+03   1.2779600e+02   3.4070800e+02   8.6837000e+01   2.2600000e+00
   2.1211033e+03   1.2671000e+02   3.4072600e+02   8.7780000e+01   2.2610000e+00
   2.1212556e+03   1.2587800e+02   3.3925200e+02   9.0256000e+01   2.2680000e+00
   2.1214080e+03   1.2543700e+02   3.3760400e+02   9.3668000e+01   2.2790000e+00
   2.1215605e+03   1.2527500e+02   3.3477400e+02   9.5596000e+01   2.2940000e+00
   2.1217129e+03   1.2523900e+02   3.3346800e+02   9.4329000e+01   2.2990000e+00
   2.1218652e+03   1.2515200e+02   3.3365400e+02   9.4004000e+01   2.2910000e+00
   2.1220176e+03   1.2502100e+02   3.3405100e+02   9.4173000e+01   2.2830000e+00
   2.1221699e+03   1.2487800e+02   3.3447600e+02   9.3662000e+01   2.2700000e+00
   2.1223225e+03   1.2474200e+02   3.3312800e+02   9.1684000e+01   2.2460000e+00
   2.1224749e+03   1.2486400e+02   3.3121200e+02   8.7121000e+01   2.2310000e+00
   2.1226272e+03   1.2542900e+02   3.3172800e+02   8.6561000e+01   2.2410000e+00
   2.1227795e+03   1.2669500e+02   3.3721400e+02   8.8014000e+01   2.2700000e+00
   2.1229321e+03   1.2782700e+02   3.4013100e+02   8.5244000e+01   2.2950000e+00
   2.1230845e+03   1.2840900e+02   3.4131600e+02   8.1405000e+01   2.2970000e+00
   2.1232368e+03   1.2841500e+02   3.3706600e+02   8.3034000e+01   2.2820000e+00
   2.1233892e+03   1.2791300e+02   3.3236600e+02   8.5765000e+01   2.2660000e+00
   2.1235417e+03   1.2698800e+02   3.2692700e+02   8.4759000e+01   2.2560000e+00
   2.1236941e+03   1.2551300e+02   3.2065500e+02   8.3740000e+01   2.2480000e+00
   2.1238464e+03   1.2465000e+02   3.1734300e+02   8.1765000e+01   2.2510000e+00
   2.1239988e+03   1.2490800e+02   3.1665000e+02   7.9925000e+01   2.2700000e+00
   2.1241511e+03   1.2634200e+02   3.1953300e+02   8.0278000e+01   2.2850000e+00
   2.1243037e+03   1.2765300e+02   3.2608100e+02   8.2556000e+01   2.2770000e+00
   2.1244561e+03   1.2830700e+02   3.3134400e+02   8.5609000e+01   2.2640000e+00
   2.1246084e+03   1.2842300e+02   3.3537800e+02   8.7794000e+01   2.2660000e+00
   2.1247607e+03   1.2832200e+02   3.3728000e+02   8.8851000e+01   2.2710000e+00
   2.1249133e+03   1.2799200e+02   3.3807900e+02   8.8393000e+01   2.2640000e+00
   2.1250657e+03   1.2754000e+02   3.3743300e+02   9.0241000e+01   2.2530000e+00
   2.1252180e+03   1.2692600e+02   3.3727100e+02   9.2620000e+01   2.2510000e+00
   2.1253704e+03   1.2720100e+02   3.3864600e+02   9.3032000e+01   2.2550000e+00
   2.1255227e+03   1.2783000e+02   3.4000800e+02   9.2411000e+01   2.2540000e+00
   2.1256753e+03   1.2845500e+02   3.4408500e+02   9.0988000e+01   2.2580000e+00
   2.1258276e+03   1.2884900e+02   3.4745400e+02   8.9517000e+01   2.2830000e+00
   2.1259800e+03   1.2905700e+02   3.5044000e+02   8.4813000e+01   2.3170000e+00
   2.1261323e+03   1.2915500e+02   3.5269800e+02   8.1424000e+01   2.3260000e+00
   2.1262849e+03   1.2908400e+02   3.5510800e+02   8.4090000e+01   2.3100000e+00
   2.1264373e+03   1.2889200e+02   3.5474300e+02   8.6725000e+01   2.2990000e+00
   2.1265896e+03   1.2835800e+02   3.5188000e+02   8.7944000e+01   2.2960000e+00
   2.1267419e+03   1.2770900e+02   3.4645900e+02   9.2981000e+01   2.2590000e+00
   2.1268945e+03   1.2692800e+02   3.3747100e+02   9.7847000e+01   2.1730000e+00
   2.1270469e+03   1.2758100e+02   3.3275200e+02   9.7691000e+01   2.0940000e+00
   2.1271992e+03   1.2963300e+02   3.3361400e+02   9.6935000e+01   2.0820000e+00
   2.1273516e+03   1.3271500e+02   3.4039100e+02   9.9361000e+01   2.1480000e+00
   2.1275039e+03   1.3534800e+02   3.5303700e+02   1.0484100e+02   2.2240000e+00
   2.1276565e+03   1.3561000e+02   3.6576400e+02   1.0760200e+02   2.2500000e+00
   2.1278088e+03   1.3517300e+02   3.6933100e+02   1.0534700e+02   2.2480000e+00
   2.1279612e+03   1.3399800e+02   3.6674700e+02   1.0370700e+02   2.2450000e+00
   2.1281135e+03   1.3275500e+02   3.6527100e+02   1.0472300e+02   2.2520000e+00
   2.1282661e+03   1.3124200e+02   3.6158000e+02   1.0473800e+02   2.2730000e+00
   2.1284185e+03   1.2942400e+02   3.6015100e+02   1.0720100e+02   2.2900000e+00
   2.1285708e+03   1.2783600e+02   3.6100100e+02   1.1219600e+02   2.2900000e+00
   2.1287231e+03   1.2767700e+02   3.6259600e+02   1.1272700e+02   2.2810000e+00
   2.1288757e+03   1.2809200e+02   3.6317200e+02   1.1030800e+02   2.2760000e+00
   2.1290281e+03   1.2847300e+02   3.6115700e+02   1.0896700e+02   2.2770000e+00
   2.1291804e+03   1.2865200e+02   3.5794600e+02   1.0651100e+02   2.2760000e+00
   2.1293328e+03   1.2864400e+02   3.5545400e+02   1.0408800e+02   2.2680000e+00
   2.1294851e+03   1.2859300e+02   3.5384400e+02   1.0218800e+02   2.2600000e+00
   2.1296377e+03   1.2854200e+02   3.5330800e+02   1.0044500e+02   2.2620000e+00
   2.1297900e+03   1.2850800e+02   3.5315200e+02   1.0037100e+02   2.2810000e+00
   2.1299424e+03   1.2851300e+02   3.5319300e+02   9.7246000e+01   2.3130000e+00
   2.1300947e+03   1.2855600e+02   3.5693200e+02   8.9723000e+01   2.3350000e+00
   2.1302473e+03   1.2859200e+02   3.6345300e+02   8.5860000e+01   2.3290000e+00
   2.1303997e+03   1.2832800e+02   3.6579600e+02   9.1119000e+01   2.3060000e+00
   2.1305520e+03   1.2769600e+02   3.6352900e+02   9.9887000e+01   2.2830000e+00
   2.1307043e+03   1.2680300e+02   3.5742900e+02   1.0650200e+02   2.2650000e+00
   2.1308569e+03   1.2649200e+02   3.4960700e+02   1.0965800e+02   2.2580000e+00
   2.1310093e+03   1.2713700e+02   3.4691800e+02   1.0604100e+02   2.2450000e+00
   2.1311616e+03   1.2790900e+02   3.4823400e+02   9.7506000e+01   2.1940000e+00
   2.1313140e+03   1.2829100e+02   3.4971000e+02   9.4242000e+01   2.1370000e+00
   2.1314663e+03   1.2851300e+02   3.5423100e+02   9.8720000e+01   2.1370000e+00
   2.1316189e+03   1.2908200e+02   3.5576200e+02   1.0217100e+02   2.1860000e+00
   2.1317712e+03   1.3033300e+02   3.5442500e+02   1.0461800e+02   2.2440000e+00
   2.1319236e+03   1.3158000e+02   3.5915600e+02   1.0761200e+02   2.2860000e+00
   2.1320759e+03   1.3231200e+02   3.6391500e+02   1.0578100e+02   2.2970000e+00
   2.1322285e+03   1.3257700e+02   3.6353600e+02   1.0096300e+02   2.2930000e+00
   2.1323809e+03   1.3213800e+02   3.5952400e+02   9.7906000e+01   2.2900000e+00
   2.1325332e+03   1.3083200e+02   3.5529900e+02   9.3662000e+01   2.2810000e+00
   2.1326855e+03   1.2824500e+02   3.5292500e+02   8.6952000e+01   2.2570000e+00
   2.1328381e+03   1.2614600e+02   3.5415800e+02   8.4957000e+01   2.2300000e+00
   2.1329905e+03   1.2504800e+02   3.5253000e+02   8.6912000e+01   2.2090000e+00
   2.1331428e+03   1.2464100e+02   3.4728600e+02   8.9692000e+01   2.1890000e+00
   2.1332952e+03   1.2450200e+02   3.4027700e+02   9.3234000e+01   2.1810000e+00
   2.1334475e+03   1.2442500e+02   3.3566300e+02   9.4700000e+01   2.2060000e+00
