DEPTH,DT,DTS,GR,RHO,VP,VS,VPVS,IP,IS,VSH,RHOm,RHOf,PHIE,SWE,VP_FRMB,VS_FRMB,RHO_FRMB,K_FRMB,K_DRY,VP_FRMO,VS_FRMO,RHO_FRMO,K_FRMO,VP_FRMG,VS_FRMG,RHO_FRMG,K_FRMG
2104.4917,133.268,349.568,93.512,2.267,2287.12068914,871.933357744,2.62304529219,5184.90260228,1976.67292201,0.577070589044,2.74233129425,1.09,0.287673117311,1.0,2287.12068914,871.933357744,2.267,,,2287.12068914,871.933357744,2.267,,2287.12068914,871.933357744,2.267,
2104.644,134.134,355.153,90.931,2.269,2272.35451116,858.221667845,2.64774777461,5155.97238582,1947.30496434,0.541590487319,2.73665447797,1.09,0.284002797325,1.0,2272.35451116,858.221667845,2.269,,,2272.35451116,858.221667845,2.269,,2272.35451116,858.221667845,2.269,
2104.7964,133.798,354.577,91.473,2.265,2278.06095756,859.615823925,2.65009192963,5159.80806888,1947.02984119,0.549041171215,2.73784658739,1.09,0.28694818499,1.0,2278.06095756,859.615823925,2.265,,,2278.06095756,859.615823925,2.265,,2278.06095756,859.615823925,2.265,
2104.9487,131.726,350.39,97.427,2.256,2313.89399207,869.887839265,2.65999119384,5220.14484612,1962.46696538,0.630888720874,2.75094219534,1.09,0.297988814258,1.0,2313.89399207,869.887839265,2.256,,,2313.89399207,869.887839265,2.256,,2313.89399207,869.887839265,2.256,
2105.1013,128.42,345.888,104.316,2.252,2373.46207756,881.210102692,2.69341224108,5345.03659866,1984.48515126,0.725589387587,2.76609430201,1.09,0.306721585651,1.0,2373.46207756,881.210102692,2.252,,,2373.46207756,881.210102692,2.252,,2373.46207756,881.210102692,2.252,
2105.2537,125.729,340.161,105.421,2.257,2424.26170573,896.046283966,2.70550946878,5471.55866984,2022.37646291,0.740779435013,2.7685247096,1.09,0.304746606753,1.0,2424.26170573,896.046283966,2.257,,,2424.26170573,896.046283966,2.257,,2424.26170573,896.046283966,2.257,
2105.406,124.495,334.373,102.628,2.264,2448.29109603,911.556854172,2.68583477248,5542.93104141,2063.76471785,0.702385043646,2.76238160698,1.09,0.298007108487,1.0,2448.29109603,911.556854172,2.264,,,2448.29109603,911.556854172,2.264,,2448.29109603,911.556854172,2.264,
2105.5583,124.577,329.023,102.451,2.262,2446.67956364,926.379006939,2.64112155534,5534.38917296,2095.4693137,0.699951886728,2.76199230188,1.09,0.299039834882,1.0,2446.67956364,926.379006939,2.262,,,2446.67956364,926.379006939,2.262,,2446.67956364,926.379006939,2.262,
2105.7109,125.383,329.868,105.467,2.254,2430.95156441,924.005966023,2.63088297457,5479.36482617,2082.70944742,0.741411780878,2.76862588494,1.09,0.306575687625,1.0,2430.95156441,924.005966023,2.254,,,2430.95156441,924.005966023,2.254,,2430.95156441,924.005966023,2.254,
2105.8633,126.629,331.438,110.062,2.246,2407.03156465,919.629010554,2.61739411983,5406.1928942,2065.4867577,0.804577634202,2.77873242147,1.09,0.315462896726,1.0,2407.03156465,919.629010554,2.246,,,2407.03156465,919.629010554,2.246,,2407.03156465,919.629010554,2.246,
2106.0156,127.359,331.95,114.765,2.237,2393.2348715,918.210573882,2.60641179658,5353.66640756,2054.03705377,0.869228125644,2.7890765001,1.09,0.324927394423,1.0,2393.2348715,918.210573882,2.237,,,2393.2348715,918.210573882,2.237,,2393.2348715,918.210573882,2.237,
2106.168,127.227,330.361,116.432,2.231,2395.71789007,922.627065543,2.59662650224,5344.84661275,2058.38098323,0.892143789951,2.79274300639,1.09,0.329904750325,1.0,2395.71789007,922.627065543,2.231,,,2395.71789007,922.627065543,2.231,,2395.71789007,922.627065543,2.231,
2106.3203,126.17,328.214,113.973,2.235,2415.78822224,928.662397095,2.60136324007,5399.28667671,2075.56045751,0.858340779435,2.78733452471,1.09,0.325412885126,1.0,2415.78822224,928.662397095,2.235,,,2415.78822224,928.662397095,2.235,,2415.78822224,928.662397095,2.235,
2106.4729,125.388,327.406,107.759,2.243,2430.85462724,930.954228084,2.61114301209,5452.40692889,2088.13033359,0.772919100969,2.77366705616,1.09,0.31518527028,1.0,2430.85462724,930.954228084,2.243,,,2430.85462724,930.954228084,2.243,,2430.85462724,930.954228084,2.243,
2106.6252,125.463,328.682,97.9,2.244,2429.40149686,927.340103809,2.61975243697,5451.57695894,2080.95119295,0.637390885972,2.75198254176,1.09,0.305648542625,1.0,2429.40149686,927.340103809,2.244,,,2429.40149686,927.340103809,2.244,,2429.40149686,927.340103809,2.244,
2106.7776,126.502,331.953,87.481,2.232,2409.44807197,918.202275623,2.62409289972,5377.88809663,2049.42747919,0.494164547392,2.72906632758,1.09,0.303261874897,1.0,2409.44807197,918.202275623,2.232,,,2409.44807197,918.202275623,2.232,,2409.44807197,918.202275623,2.232,
2106.9299,127.511,334.193,82.025,2.219,2390.38200626,912.04782865,2.62089545216,5304.25767189,2023.83413177,0.41916282906,2.71706605265,1.09,0.306112988983,1.0,2390.38200626,912.04782865,2.219,,,2390.38200626,912.04782865,2.219,,2390.38200626,912.04782865,2.219,
2107.0825,128.118,334.982,82.826,2.224,2379.05680701,909.899636398,2.61463650697,5291.02233878,2023.61679135,0.430173895113,2.71882782322,1.09,0.303793817962,1.0,2379.05680701,909.899636398,2.224,,,2379.05680701,909.899636398,2.224,,2379.05680701,909.899636398,2.224,
2107.2349,128.324,337.561,85.638,2.244,2375.23767962,902.947911637,2.63053676631,5330.03335308,2026.21511371,0.468829472816,2.72501271565,1.09,0.294195091602,1.0,2375.23767962,902.947911637,2.244,,,2375.23767962,902.947911637,2.244,,2375.23767962,902.947911637,2.244,
2107.3872,128.374,342.598,92.073,2.255,2374.3125555,889.672444089,2.66874912365,5354.07481266,2006.21136142,0.557289160767,2.73916626572,1.09,0.29358244574,1.0,2374.3125555,889.672444089,2.255,,,2374.3125555,889.672444089,2.255,,2374.3125555,889.672444089,2.255,
2107.5396,128.414,345.98,102.006,2.241,2373.57297491,880.975778947,2.69425452054,5319.17703677,1974.26672062,0.693834627809,2.76101354045,1.09,0.311196485164,1.0,2373.57297491,880.975778947,2.241,,,2373.57297491,880.975778947,2.241,,2373.57297491,880.975778947,2.241,
2107.6921,128.523,349.572,105.481,2.207,2371.55995425,871.923380591,2.71991783572,5234.03281903,1924.33490096,0.741604233968,2.76865667743,1.09,0.334586985525,1.0,2371.55995425,871.923380591,2.207,,,2371.55995425,871.923380591,2.207,,2371.55995425,871.923380591,2.207,
2107.8445,128.877,346.06,102.254,2.19,2365.04574129,880.772120442,2.68519596204,5179.45017342,1928.89094377,0.697243796825,2.76155900749,1.09,0.341931696656,1.0,2365.04574129,880.772120442,2.19,,,2365.04574129,880.772120442,2.19,,2365.04574129,880.772120442,2.19,
2107.9968,129.471,343.861,98.921,2.22,2354.19514795,886.404680961,2.65589205305,5226.31322844,1967.81839173,0.65142621486,2.75422819438,1.09,0.321006576011,1.0,2354.19514795,886.404680961,2.22,,,2354.19514795,886.404680961,2.22,,2354.19514795,886.404680961,2.22,
2108.1492,130.562,346.086,97.793,2.264,2334.52306184,880.7059517,2.65074064429,5285.36021201,1993.91827465,0.635919994501,2.75174719912,1.09,0.293514681041,1.0,2334.52306184,880.7059517,2.264,,,2334.52306184,880.7059517,2.264,,2334.52306184,880.7059517,2.264,
2108.3015,131.457,353.246,103.888,2.278,2318.62890527,862.854781087,2.68716005994,5281.8366462,1965.58319132,0.719705821706,2.76515293147,1.09,0.290811019293,1.0,2318.62890527,862.854781087,2.278,,,2318.62890527,862.854781087,2.278,,2318.62890527,862.854781087,2.278,
2108.4541,131.92,364.027,113.707,2.268,2310.49120679,837.300529906,2.75945269861,5240.194057,1898.99760183,0.854684170733,2.78674946732,1.09,0.305731327641,1.0,2310.49120679,837.300529906,2.268,,,2310.49120679,837.300529906,2.268,,2310.49120679,837.300529906,2.268,
