%Depth:M	   Sw_deep:fract	Sw_x:fract
2042.9155	1.0000	0.9170
2043.0681	1.0000	1.0000
2043.2205	1.0000	1.0000
2043.3728	1.0000	1.0000
2043.5251	1.0000	1.0000
2043.6777	1.0000	1.0000
2043.8301	0.9780	1.0000
2043.9824	1.0000	0.9350
2044.1348	1.0000	0.8790
2044.2871	1.0000	0.9060
2044.4397	1.0000	0.9250
2044.5920	0.9820	0.9510
2044.7444	0.9740	1.0000
2044.8967	0.9790	1.0000
2045.0493	0.9790	1.0000
2045.2017	0.9890	1.0000
2045.3540	1.0000	0.9690
2045.5063	1.0000	1.0000
2045.6589	1.0000	1.0000
2045.8113	0.8850	1.0000
2045.9636	0.8360	0.7780
2046.1160	0.9430	0.7260
2046.2683	1.0000	1.0000
2046.4209	1.0000	1.0000
2046.5732	1.0000	1.0000
2046.7256	1.0000	0.8770
2046.8779	0.9800	0.9630
2047.0305	0.9690	0.9870
2047.1829	0.9880	1.0000
2047.3352	1.0000	1.0000
2047.4875	1.0000	0.9810
2047.6401	1.0000	1.0000
2047.7925	1.0000	1.0000
2047.9448	1.0000	1.0000
2048.0972	1.0000	0.9280
2048.2495	1.0000	0.9340
2048.4021	1.0000	0.9920
2048.5544	1.0000	1.0000
2048.7068	1.0000	1.0000
2048.8591	1.0000	1.0000
2049.0117	1.0000	1.0000
2049.1641	1.0000	1.0000
2049.3164	1.0000	1.0000
2049.4688	1.0000	1.0000
2049.6213	1.0000	1.0000
2049.7737	1.0000	1.0000
2049.9260	1.0000	1.0000
2050.0784	1.0000	1.0000
2050.2307	1.0000	1.0000
2050.3833	0.9930	1.0000
2050.5356	0.9840	1.0000
2050.6880	0.9720	1.0000
2050.8403	0.9740	1.0000
2050.9929	0.9870	1.0000
2051.1453	1.0000	1.0000
2051.2976	1.0000	1.0000
2051.4500	1.0000	1.0000
2051.6025	1.0000	0.9550
2051.7549	1.0000	0.9670
2051.9072	1.0000	0.9800
2052.0596	1.0000	0.9910
2052.2119	1.0000	1.0000
2052.3645	1.0000	1.0000
2052.5168	1.0000	1.0000
2052.6692	1.0000	1.0000
2052.8215	1.0000	1.0000
2052.9741	1.0000	1.0000
2053.1265	1.0000	1.0000
2053.2788	1.0000	1.0000
2053.4312	1.0000	0.9840
2053.5837	1.0000	1.0000
2053.7361	1.0000	0.9610
2053.8884	1.0000	1.0000
2054.0408	1.0000	1.0000
2054.1931	1.0000	0.9630
2054.3457	1.0000	1.0000
2054.4980	1.0000	1.0000
2054.6504	1.0000	1.0000
2054.8027	1.0000	1.0000
2054.9553	1.0000	1.0000
2055.1077	1.0000	1.0000
2055.2600	1.0000	1.0000
2055.4124	1.0000	0.9820
2055.5649	1.0000	1.0000
2055.7173	1.0000	0.9730
2055.8696	1.0000	0.9570
2056.0220	1.0000	0.9580
2056.1743	1.0000	1.0000
2056.3269	1.0000	1.0000
2056.4792	1.0000	0.9990
2056.6316	1.0000	0.9780
2056.7839	1.0000	1.0000
2056.9365	1.0000	1.0000
2057.0889	1.0000	1.0000
2057.2412	1.0000	1.0000
2057.3936	1.0000	1.0000
2057.5461	1.0000	1.0000
2057.6985	1.0000	0.9720
2057.8508	1.0000	0.9830
2058.0032	1.0000	0.9760
2058.1555	1.0000	0.9690
2058.3081	1.0000	1.0000
2058.4604	1.0000	1.0000
2058.6128	1.0000	1.0000
2058.7651	1.0000	0.9350
2058.9177	1.0000	0.9580
2059.0701	1.0000	1.0000
2059.2224	1.0000	1.0000
2059.3748	1.0000	1.0000
2059.5273	1.0000	1.0000
2059.6797	1.0000	1.0000
2059.8320	1.0000	1.0000
2059.9844	1.0000	1.0000
2060.1367	1.0000	0.9770
2060.2893	1.0000	0.9890
2060.4417	1.0000	1.0000
2060.5940	1.0000	1.0000
2060.7463	1.0000	0.9840
2060.8989	1.0000	0.9760
2061.0513	1.0000	0.9750
2061.2036	1.0000	1.0000
