DEPTH,VP,RHO,GR,IP,VSH,RHOm,RHOf,PHIE
2024.68274,2293.45,2.0637,101.1703,4732.992765,0.370506647364,2.70928106358,1.09,0.398683760404
2024.83521,2314.35,2.1146,103.1358,4893.92451,0.387688913133,2.7120302261,1.09,0.368322498858
2024.98755,2298.64,2.1438,104.6225,4927.824432,0.400685542245,2.71410968676,1.09,0.351152198284
2025.14001,2288.29,2.1266,107.919,4866.277514,0.429503318437,2.71872053095,1.09,0.363549497718
2025.29236,2316.11,2.0815,100.8323,4820.982965,0.36755187462,2.70880829994,1.09,0.38751240648
2025.44482,2307.34,2.044,107.5666,4716.20296,0.426422661883,2.7182276259,1.09,0.414086836002
2025.59717,2305.6,2.0296,101.2229,4679.44576,0.370966472945,2.70935463567,1.09,0.419768851552
2025.74963,2272.93,2.0471,108.0169,4652.915003,0.430359153501,2.71885746456,1.09,0.412410219541
2025.90198,2215.12,2.068,110.2499,4580.86816,0.449879885865,2.72198078174,1.09,0.400728237156
2026.05444,2221.57,2.0969,103.6378,4658.410133,0.392077362594,2.71273237802,1.09,0.379503352714
2026.20679,2239.53,2.1063,104.6258,4717.122039,0.400714390617,2.7141143025,1.09,0.374243550201
2026.35925,2279.73,2.1031,103.7901,4794.500163,0.393408758716,2.71294540139,1.09,0.375764582635
2026.5116,2271.24,2.0866,106.2658,4739.169384,0.415051157781,2.71640818525,1.09,0.387238696263
2026.66394,2266.17,2.1085,106.5217,4778.219445,0.417288217975,2.71676611488,1.09,0.373911227504
2026.81641,2272.93,2.1154,108.7779,4808.156122,0.437011763143,2.7199218821,1.09,0.37089009525
2026.96875,2288.29,2.1176,105.9143,4845.682904,0.411978368965,2.71591653903,1.09,0.367987239609
2027.12122,2266.17,2.1064,105.3927,4773.460488,0.407418577653,2.71518697242,1.09,0.374595035989
2027.27356,2302.11,2.0908,99.4814,4813.251588,0.355742399765,2.70691878396,1.09,0.381044978927
2027.42603,2312.59,2.0804,99.5357,4811.112236,0.356217086629,2.70699473386,1.09,0.387505735634
2027.57837,2312.59,2.0971,102.2672,4849.732489,0.380095671695,2.71081530747,1.09,0.378646046001
2027.73083,2381.25,2.1156,100.3801,5037.7725,0.363598773332,2.70817580373,1.09,0.366199891486
2027.88318,2466.02,2.164,99.6849,5336.46728,0.357521382764,2.70720342124,1.09,0.335890596141
2028.03564,2594.04,2.163,100.3662,5610.90852,0.363477260489,2.70815636168,1.09,0.336899680766
2028.18799,2569.98,2.1513,102.2369,5528.797974,0.37983079118,2.71077292659,1.09,0.345188963494
2028.34045,2533.67,2.1358,106.2755,5411.412386,0.415135954514,2.71642175272,1.09,0.356993351663
2028.4928,2458.06,2.147,104.4373,5277.45482,0.399066536587,2.71385064585,1.09,0.349078067802
2028.64514,2312.59,2.1384,104.9639,4945.242456,0.403670037555,2.71458720601,1.09,0.354666837137
2028.79761,2298.64,2.1453,106.9584,4931.272392,0.421105819329,2.71737693109,1.09,0.351533145249
2028.94995,2290.01,2.1264,105.6704,4869.477264,0.409846211946,2.71557539391,1.09,0.362441136916
2029.10242,2272.93,2.1371,98.8,4857.478703,0.349785647847,2.70596570366,1.09,0.352028327315
2029.25476,2278.03,2.1541,97.4063,4907.104423,0.337602018337,2.70401632293,1.09,0.340712987298
2029.40723,2348.23,2.1931,98.715,5149.903213,0.349042583695,2.70584681339,1.09,0.317323900472
2029.55957,2364.62,2.1701,97.3533,5131.461862,0.337138695984,2.70394219136,1.09,0.330769090873
2029.71204,2371.98,2.1291,103.2832,5050.182618,0.388977473792,2.71223639581,1.09,0.359464500559
2029.86438,2383.11,2.1041,99.5322,5014.301751,0.35618648987,2.70698983838,1.09,0.372847017384
2030.01685,2341.01,2.0944,97.6069,4903.011344,0.339355649735,2.70429690396,1.09,0.377809622544
2030.16919,2392.46,2.1118,93.5531,5052.397028,0.303917609047,2.69862681745,1.09,0.36479984735
